Date;Atmospheric pressure(hpa);Relative humidity (%);Solar radiation (joules/cm2);Temperature(°C);Wind at 10m (m/s);precipitation in mm/h
01/01/2016 00:00;971.7974352;100;0;0.9;1.345460922;0
01/01/2016 01:00;971.7974352;100;0;1.55;1.434572152;0.8
01/01/2016 02:00;972.188658;100;0;3;1.256349692;0
01/01/2016 03:00;972.188658;100;0;3.75;1.390016537;0
01/01/2016 04:00;971.6018238;100;0;4.1;1.657350227;0
01/01/2016 05:00;971.7974352;100;0;3.2;1.345460922;0
01/01/2016 06:00;971.6018238;100;0;2.6;1.390016537;0
01/01/2016 07:00;971.4062124;100;0;1.95;1.345460922;0
01/01/2016 08:00;971.210601;100;0;2.3;1.434572152;0
01/01/2016 09:00;971.210601;100;10;3.05;2.013795147;0
01/01/2016 10:00;970.8193782;100;25;3.95;1.746461457;0
01/01/2016 11:00;970.0369326;100;43;4.6;1.523683382;0
01/01/2016 12:00;968.8632642;100;77;4.9;2.192017607;0
01/01/2016 13:00;967.5917901;100;61;5.35;1.924683917;0
01/01/2016 14:00;966.8093445;100;57;6.05;1.612794612;0
01/01/2016 15:00;966.320316;99.5;29;6.2;1.835572687;0
01/01/2016 16:00;964.8532305;98.5;6;5.25;2.058350762;0
01/01/2016 17:00;964.2663963;100;0;5.05;1.612794612;0
01/01/2016 18:00;963.8751735;100;0;4.9;1.791017072;0
01/01/2016 19:00;963.386145;100;0;4.6;2.236573222;0
01/01/2016 20:00;962.1146709;100;0;4.3;2.192017607;0
01/01/2016 21:00;961.9190595;100;0;4.25;2.236573222;0
01/01/2016 22:00;960.9410025;100;0;4.05;1.746461457;0
01/01/2016 23:00;960.1585569;100;0;4.25;1.523683382;0
02/01/2016 00:00;959.7673341;100;0;4.9;1.746461457;0
02/01/2016 01:00;958.9848885;100;0;5.4;1.701905842;1
02/01/2016 02:00;959.5717227;100;0;5.5;1.345460922;0.2
02/01/2016 03:00;958.7892771;100;0;5.75;1.969239532;0.2
02/01/2016 04:00;958.3980543;100;0;6.25;1.746461457;1
02/01/2016 05:00;958.0068315;100;0;7;1.657350227;1.2
02/01/2016 06:00;958.5936657;100;0;7.5;1.523683382;2.4
02/01/2016 07:00;958.5936657;100;0;7.2;2.726684987;4.1
02/01/2016 08:00;958.3980543;100;0;6.7;1.880128302;0.8
02/01/2016 09:00;958.3980543;100;2;6.5;1.746461457;0
02/01/2016 10:00;958.7892771;100;7;6.5;2.058350762;0
02/01/2016 11:00;959.3761113;99;32;7.4;2.236573222;0
02/01/2016 12:00;959.1804999;95;42;8.05;2.637573757;0
02/01/2016 13:00;959.3761113;91.5;32;8;3.216796751;0
02/01/2016 14:00;959.3761113;87.5;55;8.05;3.617797286;0
02/01/2016 15:00;959.3761113;85.5;28;7.65;2.771240602;0
02/01/2016 16:00;959.5717227;88;5;6.95;2.147461992;0
02/01/2016 17:00;959.5717227;91.5;0;6.15;2.459351297;0
02/01/2016 18:00;959.3761113;94;0;5.7;2.414795682;0
02/01/2016 19:00;959.5717227;95.5;0;5.15;2.325684452;0
02/01/2016 20:00;959.7673341;93;0;5.25;2.548462527;0
02/01/2016 21:00;959.7673341;92;0;5.6;2.726684987;0
02/01/2016 22:00;959.7673341;91;0;5.7;2.860351832;0
02/01/2016 23:00;959.9629455;92.5;0;5.6;2.815796217;0
03/01/2016 00:00;959.5717227;92;0;5.5;2.548462527;0
03/01/2016 01:00;959.5717227;90.5;0;5.4;2.548462527;0
03/01/2016 02:00;959.3761113;88.5;0;4.95;2.593018142;0
03/01/2016 03:00;959.5717227;91;0;4.75;1.746461457;0
03/01/2016 04:00;958.9848885;91;0;4.7;2.994018677;0.2
03/01/2016 05:00;958.2024429;92;0;4.4;2.459351297;0
03/01/2016 06:00;957.4199973;93.5;0;4.1;1.969239532;0
03/01/2016 07:00;957.8112201;96.5;0;3.4;1.924683917;0
